b,bb,g,path,r
37.3715644261,-5.96908214241,33.6318240768,ANd9GcQ-6pQo9fg5S5QMcV8N8J54yYqrubYCWw-bq4-Da1Ku1hkEJEO3.jpg,70.6763411045
4.57591262026,-21.3889608156,-0.214116754227,ANd9GcQ-9q7fjHdCPVLZHzTvLPvtklacP7xAO82eCTM2EuOxEL4Sl3qpzg.jpg,52.6985371779
-2.30349383713,4.76078725157,-1.20055966284,ANd9GcQ-HRsM6J42Mc2BJaSFXbxIidQEep8bjhaHdn-xUCfw91f0MHtE.jpg,56.8946501501
0.00195881060576,-0.000256611976723,-0.000140385743709,ANd9GcQ-LMF6HugDQXa53SIoj6Vy-hc27j4ZGBnzYwO4gsCJIVSIPnXM.jpg,25.5478949824
12.4051443685,-11.4658618904,-0.412605210113,ANd9GcQ-QkSjvhAO2PUo4kqHvKKshorQFRMekpYD06BGTtdeCmejp6LZ.jpg,28.2132046377
7.72013277924,-6.84731951607,4.91607473461,ANd9GcQ-Y4lf0VySCfoago7CrpHOCl1LHcbHaB2BMf6UvUSkeV4dtoIKlA.jpg,41.4443646918
-45.1209732143,0.59648712311,-17.5736371679,ANd9GcQ-yIJezGGCylI2cGGcg9bwTOiVh9iz0mmqI6KVfsdZZqvzBSfQ.jpg,59.2956405105
-40.0630283861,-11.0143896306,-15.2733242523,ANd9GcQ03vCKUO0WH8yUmU3Pt8RFSXpREVrUva_vN7dZnRo5OIt6xoJw.jpg,49.3999805835
-18.1366467687,-13.2797930912,28.7287875212,ANd9GcQ0AS3ipXjOLQLuepakrKNUkyjUPNFVaQAkw0Pr_etYlw7lQRo3Lg.jpg,50.4921726247
32.6956331251,-12.7937382744,36.0721348346,ANd9GcQ0LcwKTh6gamDdTTGWPMDR6IITl-Ryw0DSNbwY0oDMmeUzjm0g.jpg,57.7448419533
9.77809815727,-13.3251867967,-13.9974854291,ANd9GcQ0p0VhR7dXlGVaCDrmjPiWolZXDzA9882JcLja6au0zCpRZLdv.jpg,35.2664203158
-0.821171757189,-4.61198584221,-1.70812841838,ANd9GcQ0sa93MklyNXW_oukodvV0P1-Wyl_bpOLmibpxxbYEkkl4_2Mc.jpg,57.1593522171
-8.18736212395,-16.8834842937,-7.36762416668,ANd9GcQ0VAnOVSM7Jt0rWfQAbKAzpmjhY_NRc4Wnsf8VsOG8HSB-dgYi.jpg,37.6827087911
-9.11674525627,-14.2106724251,-4.2124115465,ANd9GcQ0W4zSfC1L5XbzSup3sflvvu10z4CDiheIA39HHvAd6ZgcOmaTkQ.jpg,43.8743633325
-4.9055049573,-21.6469783797,-10.2380171557,ANd9GcQ0XNnCueBMO1yMQbMIEjA9yy0dnDGTCa1N1LQ-eyscY_louA-HuQ.jpg,46.3063335032
-7.66429918462,-13.4878344023,-2.96718635889,ANd9GcQ155gIdV-BHQ1aUxoTX32O2VFtJhHrYB-h5X1x4LjsMiqJR53LGQ.jpg,38.2317351585
-6.20218161087,-1.99259480374,-3.91751125615,ANd9GcQ1D4YUCLe5MCG4xd5iNJGh2f84w-oayS1Gwo4x_hWGthcKB3X9.jpg,49.331553839
6.37381952127,-13.4192214561,23.6072355743,ANd9GcQ1gxwA2R1cuEk3UGRu9KsEAak-byI_5fPo_ZiIeh2fvK2L442u.jpg,46.5008842306
-9.63892670596,-20.4271191105,-9.12787088848,ANd9GcQ1hvqTjojWKvUcifxEkFYwd20YJ370RpChBgdKQkZQoZdwf7B1dw.jpg,53.4935565845
-1.18980864403,-30.1908774615,-16.0434460676,ANd9GcQ1O55e0PJcYuSLDZMyl0sP2fja4OJWp09Z2l4mUK4s4LbZlx3F.jpg,56.9548346424
29.3867542437,-9.22839737898,31.2025350157,ANd9GcQ1Oc2K6e09gniWmIv3VCGK4nIgr950y3F4uYpyWvqHZrqvB-hC.jpg,36.6255695253
-70.3158618457,-3.13883427292,-21.1043938256,ANd9GcQ202oYoqyMIVhVfSsFu-jmY2KfNQYx5MZuJ8NmwE_DebUmfi7Q.jpg,64.1243840113
-5.99815240831,-8.04549984295,10.3043975788,ANd9GcQ255khjGEkc4VnLgj9Z24jIy8mATtDo3B37v1lWyZu10w_TvmW.jpg,39.2527128077
20.5807140578,-16.3202013694,-10.2314301842,ANd9GcQ2UGVOoL5duqauU4YBT4vfO1Abudb5PAWCf7V1Lc041JVWyBHY.jpg,44.8074982137
-7.89280081263,-14.5384334852,-8.7554887553,ANd9GcQ3-U1iFeTeromrkQz-Wl_oCKdNZX_JE_57_wDHEcy2fVCPpPwuMg.jpg,55.9658474027
17.9923791617,-9.28590366443,-2.13738113659,ANd9GcQ34EpqQbnJHZIzsaWOFUJmvFSl88oolAQlaBUoHtVV4M3Nw0IDJw.jpg,48.6262585725
19.490695705,-10.9939540967,-4.04341694329,ANd9GcQ36m9IkUgJyixD-5UKPTE2FOA3EmG4jnC1_Gk2tAbVyB8DgyOw.jpg,31.432669277
